질병명,항목,내용
1급 및 2급 간성 뇌증,1급 및 2급 간성 뇌증증상,손피판 수의 운동이 어려움 뭔가에 집중하기 어려움 졸림증 정신적 단절감
1급 및 2급 간성 뇌증,병원 방문 필요 증상,없음
1급 및 2급 간성 뇌증,자가 관리 방법,없음
1형 당뇨병,1형 당뇨병자가 관리 방법,하루에 물 2리터를 섭취합니다.
1형 당뇨병,1형 당뇨병증상,200mg/dL 또는 11.1mmol/L을 초과하는 포도당 수치 혈당 수치가 250mg/dL/13.9mmol/L 이상임 수분(일반적으로 물)을 많이 섭취함 갈증 많은 양의 소변을 배출
1형 당뇨병,병원 방문 필요 증상,없음
1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과),1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과)자가 관리 방법,신경 섬유종 변화 모니터링 주기적으로 일반의를 방문합니다 "골격 키 체중 및 머리둘레 변화에 주의합니다"
1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과),1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과)증상,"5mm보다 큰 6개 이상의 ""밀크커피""색 피부 반점" 홍채에 어두운 자국 근육이완증 경련 두통
1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과),병원을 꼭 방문해야 하는1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과)증상,일주일에 체중을 10% 감량합니다 시각 장애
1형 양극성장애,1형 양극성장애증상,지나친 고양감 및 에너지 활동 증가 질주하듯 빠른 사고 수면 부족이지만 외견상 문제없음 자존감이 향상됨
1형 양극성장애,병원 방문 필요 증상,없음
1형 양극성장애,자가 관리 방법,없음
2도 동상,2도 동상자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 젖거나 마르지 않은 옷을 벗습니다 "추위 바람 또는 습기로부터 증상이 있는 부위를 보호합니다" 증상이 있는 부위에 열을 가합니다
2도 동상,2도 동상증상,피부가 차가움 손톱을 눌렀다 뗄 때 원래 색으로 돌아오는 데 2초 이상 걸림 민감도 변경 수포가 괴사 딱지로 변함 창백함
2도 동상,병원 방문 필요 증상,없음
2도 화상,2도 화상자가 관리 방법,타지 않았거나 달라붙지 않은 옷을 제거합니다 찬물을 5~10분 동안 좁은 부위에 묻힙니다 건조하고 깨끗한 시트로 덮어줍니다 "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 하루에 물 2리터를 섭취합니다.
2도 화상,2도 화상증상,화상 피부 소수포/수포 피부가 붉어짐 피부 변화 피부가 붉어지고 수포 및/또는 작은 붉은 점이 있는 부위가 있음
2도 화상,병원 방문 필요 증상,없음
2형 당뇨병,2형 당뇨병자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 일주일에 3번 규칙적으로 운동합니다 담배 소비량을 줄입니다 꽉 끼지 않는 편안한 신발을 착용하세요 비만 또는 과체중인 경우 체중을 감량합니다 혈당 및 인슐린 수치를 조절하기 위한 약물에 대해 일반의와 상의하세요.
2형 당뇨병,2형 당뇨병증상,200mg/dL 또는 11.1mmol/L을 초과하는 포도당 수치 잦은 배뇨 밤에 소변을 많이 봄 "과체중 또는 비만 BMI 25~29.9" 수분(일반적으로 물)을 많이 섭취함
2형 당뇨병,병원을 꼭 방문해야 하는2형 당뇨병증상,갈증 증가 콜라색 또는 어두운 색의 소변 발작을 동반하는 경우 호흡곤란 감각 구토물 심한 복통 흐린 시야.
2형 양극성장애,2형 양극성장애증상,지나친 고양감 및 에너지 활동 증가 질주하듯 빠른 사고 행복감을 느끼던 활동을 즐길 수 없음 자존감이 향상됨
2형 양극성장애,병원 방문 필요 증상,없음
2형 양극성장애,자가 관리 방법,없음
3급 및 4급 간성 뇌증,3급 및 4급 간성 뇌증증상,의식 소실 감소 혼수 손피판 낮졸림증 "밤낮이 바뀐 수면 패턴 낮에 잠"
3급 및 4급 간성 뇌증,병원 방문 필요 증상,없음
3급 및 4급 간성 뇌증,자가 관리 방법,없음
3도 동상,3도 동상자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 젖거나 마르지 않은 옷을 벗습니다 "추위 바람 또는 습기로부터 증상이 있는 부위를 보호합니다" 증상이 있는 부위에 열을 가합니다
3도 동상,3도 동상증상,사지 종창 수포가 괴사 딱지로 변함 손톱을 눌렀다 뗄 때 원래 색으로 돌아오는 데 2초 이상 걸림 손톱 및/또는 입술이 푸르스름함 하지 통증
3도 동상,병원 방문 필요 증상,없음
3도 방실차단,3도 방실차단증상,느린 심박수 - 서맥 의식을 잃음 적은 양의 소변을 배출함 어지러움 숨 가쁨으로 인해 높은 베개를 베고 수면
3도 방실차단,병원 방문 필요 증상,없음
3도 방실차단,자가 관리 방법,없음
3도 방실차단 (소아청소년과),3도 방실차단 (소아청소년과)증상,의식을 잃음 쉽게 피곤해짐 지침/피로 적은 양의 소변을 배출함 어지러움
3도 방실차단 (소아청소년과),병원 방문 필요 증상,없음
3도 방실차단 (소아청소년과),자가 관리 방법,없음
